square_feet,bedrooms,bathrooms,age,location_score,garage,pool,school_rating,crime_rate,distance_to_city,lot_size,year_built,energy_efficiency,neighborhood,price
2782,3,1.0,2,3.742657805930643,1,0,4,49.83719666106241,34.56522362833085,8633,1980,D,Downtown,438333.68477778445
690,3,2.5,24,4.971773720396242,1,0,4,21.353327431608182,26.799496968618413,5732,1961,B,Urban,199854.37299330655
2410,2,2.5,5,4.539943436790524,1,1,5,29.76137406318813,42.009854434752825,11026,2003,C,Urban,421001.96007328667
2043,4,2.0,2,3.9619900109677277,0,1,2,60.45795601572895,19.57883434646588,6494,1998,C,Rural,394394.6082400121
1850,2,2.0,11,3.147137430498696,1,0,2,59.903785385803154,34.89705743805524,9193,1989,D,Downtown,270243.22330781876
2045,1,3.5,2,1.7061310048678586,1,0,3,87.18054927478656,21.84421001819964,7750,1997,C,Urban,339127.8254427238
1006,4,1.5,28,5.553194300071262,1,0,4,16.45803847357935,26.93604683672847,11294,1994,C,Rural,249910.20120974028
1890,2,2.0,4,5.835593675853053,1,0,1,49.74017853817387,6.573300000783468,9842,1986,A,Urban,288087.1463774878
2178,3,2.0,10,4.025395396918511,1,1,3,59.88323140345007,41.74242512242108,5803,1976,B,Rural,377720.84510321595
2738,1,3.0,4,9.782594767319011,2,0,3,93.04695239760186,16.677122375317666,11639,1970,C,Downtown,436598.23548367573
1740,2,3.5,16,6.012650892758124,1,0,4,51.64233365468598,15.75906432751844,5466,1956,C,Rural,309325.32217956625
1595,2,3.0,22,9.00109467023714,1,0,4,34.0661943996673,5.3495698175229816,5881,1981,B,Rural,292655.8701915574
1749,1,3.0,15,6.130767785694578,1,0,4,29.213870412408905,25.813254142069365,11246,2019,C,Urban,321459.0302367171
2457,4,4.0,18,2.7092426767449505,1,0,4,21.609911158322447,21.47740945966254,7944,1998,B,Suburbs,401886.1817828284
2164,4,2.5,1,9.771602856417278,0,0,5,96.23677101785087,5.847948168237945,8624,2006,C,Downtown,373466.68221206113
1735,3,3.0,25,8.96801509404143,1,1,2,60.2938319788038,37.82704427443836,8846,1971,A,Downtown,359347.9991486081
2256,4,4.0,9,5.241463105939057,0,1,3,30.35232858393606,4.254157331431447,5846,1984,B,Rural,452959.11116677197
2048,2,1.0,20,3.18752102626583,1,0,3,74.51133872498966,8.106773400568162,11761,1952,A,Urban,307916.91953556996
2484,3,2.5,11,3.0040265463836584,2,1,2,28.92749125116667,23.574189158607435,12388,1971,C,Suburbs,412532.6124041775
1648,2,3.0,2,8.254183844496307,1,0,2,50.38377386973314,18.530045507705015,4263,1988,D,Rural,317947.9242978387
1836,4,3.5,9,1.6220675030613347,1,0,3,2.597627084701948,14.500240186675175,7100,1969,B,Rural,340560.7931824576
1803,3,3.5,0,6.74254343272194,1,1,4,84.65703166905622,28.632432078124808,9359,1962,B,Urban,384577.84045695077
1268,4,3.0,11,6.761214311876518,2,0,2,95.65519840994338,26.69021875970113,7776,1988,A,Downtown,329258.9303195645
2148,4,3.5,5,2.642090929532279,1,0,3,86.57553375206786,22.188316135626568,6913,2016,B,Rural,374282.9442431817
2130,3,2.5,1,7.344211315911966,1,0,4,17.111372177576023,39.03283906199695,9123,2000,D,Suburbs,393015.52928312117
2002,4,1.0,38,7.348656602759329,1,1,4,82.52713662576691,25.41004854445691,9319,2013,B,Rural,323668.5452372828
1882,5,1.0,23,4.150277806972453,1,0,2,34.70070491314855,48.961003556044865,11384,1994,A,Urban,308801.06465856876
1292,2,2.5,22,5.350383214452925,1,0,5,93.62816869084642,40.28878135082942,4531,1969,D,Urban,227199.98843087305
1789,3,2.0,15,8.494871960340944,0,0,2,29.907789714395804,6.21601918734473,5983,1956,D,Rural,337335.55002319074
1828,4,2.0,11,5.708379461205207,0,0,1,8.940079094994513,14.424637772492714,6492,2018,D,Downtown,363569.30771478167
1598,4,2.0,10,6.563413908864784,1,0,3,85.29204791746781,27.257979153988973,12793,2006,C,Rural,328373.6310395422
1919,2,3.5,1,4.714926854376501,2,0,1,11.664652656477092,23.97552959116879,11019,1998,C,Urban,308150.2051618481
2202,3,2.0,23,2.3463918024841184,0,0,1,54.14350828820089,3.302107746050898,8550,1994,B,Downtown,287971.00401889294
2943,3,3.5,21,9.982599684706818,1,0,4,37.59478956888109,26.87937348311402,7831,1993,B,Downtown,495602.12279385416
2087,3,3.5,13,5.783828682543467,0,1,5,75.68542234639868,30.662465102783,8881,1959,C,Rural,375437.70198982226
2128,2,2.0,26,4.028018152784597,1,0,3,74.88995432253408,23.704922921429475,10349,1956,A,Suburbs,320373.45800014073
1962,5,2.0,8,7.424085933938205,1,0,3,77.61375035465457,43.44054990415623,7493,1982,D,Urban,374224.8556644396
1040,4,3.0,5,6.587395899953519,1,0,5,6.328213124186388,28.272898279207272,8547,1970,C,Rural,309529.98013344407
1986,3,3.0,34,3.0961745226942035,0,0,1,85.83753411208218,39.53635353675619,7326,1996,A,Urban,276365.2759476566
2030,4,2.0,6,8.89232949457798,1,0,4,46.63297588093447,29.754357009806366,5209,1961,B,Urban,383331.19639412337
3231,4,1.5,10,1.6381264322911315,1,1,3,21.918419066930927,45.55606385861086,4420,1983,B,Downtown,437998.0712297914
1903,2,2.0,4,6.45128426652313,1,1,3,29.88958143950574,11.495209356851534,6618,1998,A,Suburbs,343371.63020527
2150,2,1.5,10,5.300996423305005,1,0,3,90.27423128466354,41.752336227112295,7254,1995,D,Suburbs,346294.63173726184
1982,3,2.0,12,3.863785724067898,1,1,4,0.5993140294041299,22.951545396470134,8873,2011,B,Suburbs,346654.56460486585
1415,4,2.0,9,8.437421154342179,1,1,4,80.17221082106985,35.18118916440562,8537,1965,A,Rural,312527.98716708075
2571,1,2.5,7,6.9064936686033676,1,1,5,92.39295806123037,28.739200060005672,5217,2007,D,Rural,385688.3459844305
2375,5,4.0,3,7.835495471898179,1,1,1,25.005469645471123,6.333865731124212,8018,1995,A,Suburbs,522438.7211610301
2395,3,2.5,10,4.7319286838006915,0,0,5,82.20025199253739,22.3927496426601,6908,1950,B,Urban,358710.7145560774
1545,3,3.5,23,9.481584981758594,1,0,1,16.108993780737556,34.02004645096471,7501,1950,B,Downtown,294458.16475465044
2701,2,3.0,0,4.102510804471001,0,1,3,1.6225216042070167,45.0217912392571,8160,1965,A,Urban,397763.9733702816
1299,2,3.0,1,5.779404320100811,1,0,2,60.45743313305883,11.704507063769732,10562,2007,A,Rural,261536.70370931242
2293,4,2.0,1,9.40285100630403,0,0,5,64.6202776280058,18.40393248455495,7079,1995,B,Urban,411766.436695614
3095,5,2.0,25,1.7487006209704818,0,0,4,15.014230713589905,18.66978404816873,11356,1980,B,Downtown,475469.10687882017
1504,3,3.0,10,1.9792939345026195,2,1,4,51.246754405436945,26.693795532821667,5399,2016,C,Urban,286935.5584736664
1716,5,3.5,30,9.947689896911207,1,0,5,38.54916564848912,43.28725801314401,6245,1985,C,Suburbs,381912.9660056032
2049,4,2.0,8,9.742520412600939,1,0,4,7.625813888942101,20.380777689504697,7807,2003,B,Suburbs,381801.6020644289
1748,3,1.0,6,7.945314452534226,1,0,5,50.774228324579475,8.193597357984121,5661,2011,B,Suburbs,339534.45372324344
1224,4,3.0,15,5.357694484640483,1,0,4,58.5136582471581,25.821146110544642,5360,2006,D,Downtown,257468.37438717933
2034,3,2.0,1,5.554547637727989,0,0,1,21.71720584063661,2.845744735282303,8147,2002,C,Downtown,333141.63819629437
1468,3,1.0,4,3.3149158618369206,1,1,4,73.97796405640521,17.878382518897915,5350,1976,B,Urban,269928.152611075
2236,1,3.0,6,4.894579325217924,2,1,5,7.260144473384367,26.197378164259455,6080,2012,D,Downtown,391733.9591945247
1540,4,2.5,3,4.8821444007969905,1,1,2,55.09951825225996,26.3664032728963,7835,2019,D,Rural,366845.2346803593
2774,1,2.5,4,1.324810170340648,1,0,5,30.339021469648518,41.15645057466337,11405,2013,A,Urban,395559.07583100843
1608,4,3.5,0,5.078423872303025,1,0,2,43.60730745535931,40.25487422580065,7616,1979,D,Rural,343566.520884699
1838,4,2.5,2,5.318149676657204,1,1,4,89.34735345188415,14.849007750989063,8260,1981,C,Urban,382693.9927687208
2406,2,2.5,4,6.992048568068765,1,1,1,66.99542514120846,15.751196620914392,5700,2021,D,Downtown,378263.897053881
1384,3,2.0,15,5.648076220489098,1,1,3,14.887859123403235,49.10157048345605,5903,1997,C,Downtown,282113.3842542343
2113,3,2.0,2,8.755146391376824,1,0,5,88.63060223377259,20.182790861277436,3415,2014,A,Downtown,367057.7802880373
2653,3,3.0,4,4.308056427176413,0,0,1,37.28334893640442,7.998394825609074,6032,1969,B,Urban,383954.9473357864
1196,2,2.0,0,4.68745832085042,1,1,3,34.12845263441099,33.18999674136056,9529,1963,B,Suburbs,253004.40804228702
2092,3,1.5,8,6.143342622904671,1,0,4,50.15364221211175,12.932236368651498,6850,1993,C,Rural,338579.917388241
2129,2,1.0,9,2.8245045206015154,0,0,5,20.52939932171943,30.565922917858952,8301,2018,C,Urban,304492.41890228266
2390,1,2.0,20,4.541482770239975,1,1,2,91.42359853737892,41.24269460559565,8446,1995,B,Urban,301637.56855920004
1381,1,2.0,17,7.175507245779949,2,1,2,46.78890289236332,9.509309936455972,9472,1963,C,Rural,276910.73160736676
1339,2,2.5,3,4.7062786534732375,2,0,2,39.38226997750077,23.130067649900916,11319,2018,C,Suburbs,240803.50941200225
2260,4,2.0,1,9.159548590089619,1,0,2,17.096775279894814,19.764501158488113,9214,2011,C,Urban,419019.0062602641
2148,5,1.5,1,6.537704688463987,0,1,4,80.26814528368037,49.96996559992577,7523,2022,C,Downtown,399513.18443401746
2125,3,2.5,34,2.383909749292278,1,0,5,95.28355632681134,35.869988225708084,9593,1982,C,Rural,353203.014406655
2173,3,3.5,11,5.386999068904252,0,1,4,86.95926139950681,5.036062115565689,8608,1978,A,Suburbs,426011.6869170531
1659,2,1.5,0,7.883008710361894,1,1,3,16.14969627656413,12.201218179859668,3523,1983,A,Urban,303334.4666257744
2116,3,2.5,1,6.790106487758826,1,1,4,75.16154830787676,8.705741398970922,5601,2002,C,Downtown,400505.4797802308
2146,2,2.5,6,8.967372163049077,2,0,2,20.41638459325117,1.7460115469364967,7550,2023,D,Suburbs,383668.1279228987
1642,4,3.0,2,7.749846068703549,2,0,1,3.883439332091454,16.476723164764348,6829,2008,C,Rural,346458.9235828923
2932,5,1.5,16,1.5545239534889799,0,0,4,48.44717166129544,16.898399968099284,7754,1968,D,Suburbs,418692.5716093936
2236,2,3.5,8,2.0126138431433986,0,0,2,67.0380613614479,12.514676957451472,3146,2015,B,Urban,325538.70714123483
1404,4,2.5,9,6.847738288939885,2,0,3,12.428756255769692,28.102006669521625,9682,1985,C,Downtown,343168.6166261759
2328,1,3.0,6,3.145671626607448,2,0,2,60.55189566855317,11.704054518712212,7899,1970,C,Rural,341984.1422216019
1512,3,1.5,2,6.290514123753137,1,0,5,84.36455000937094,47.11220969439388,10432,1966,C,Rural,290175.96664112597
2393,2,3.0,8,8.129958328845788,1,0,3,20.901044720472928,36.89064804179,8051,2012,B,Urban,380743.7231786444
2579,3,3.0,12,6.192384290263468,1,0,3,42.77893796884727,6.9486323088655295,8402,2014,B,Rural,398004.7850192437
1589,2,2.0,4,4.739397130056604,1,0,2,49.88007272677828,14.174192559628612,5928,1979,B,Urban,283427.82686478196
2481,3,2.0,7,6.8164328000144705,1,0,1,83.12117511467085,49.13946369100578,5589,2023,A,Rural,357276.86811468255
2206,3,2.5,18,2.292574998471685,1,1,4,77.13766136508025,10.809073189521223,8265,1985,A,Suburbs,376766.24801103305
2411,3,1.0,1,7.508871959529536,1,0,5,76.93276387210747,6.730902326948508,8004,1950,C,Suburbs,409466.03813414864
2948,4,3.0,7,7.273226023408199,1,0,3,67.9038339957139,12.383564034026984,4716,2006,D,Rural,525471.4213359723
1877,5,1.0,4,5.629630284570602,2,0,5,61.77891466391557,35.978961224903124,9880,2008,C,Rural,413934.35864270455
1623,3,1.5,12,3.5093214551185508,1,0,1,50.88875242571882,26.37577040217338,8099,1996,A,Suburbs,270190.9521150801
1555,2,2.5,0,8.178074079667748,1,0,2,36.961864943160435,4.310665522971328,6987,1953,C,Downtown,291967.28160227125
1592,2,1.0,11,5.594952729052155,1,0,2,51.32276131704121,18.72747228537896,6260,1950,C,Rural,267315.09037753905
1961,4,4.0,1,1.5325921527352189,1,1,3,85.37197495142036,5.244405209930148,9512,1970,C,Rural,396640.49822667235
2170,3,3.5,0,9.26751296656594,1,0,5,57.05885356766658,15.2434522272433,6608,2022,C,Downtown,422646.16304508905
2138,3,2.5,12,7.909447928382027,1,1,3,98.56058578660841,9.377155124041712,8472,1962,A,Rural,407363.30334053823
2413,2,3.0,10,6.263246329144135,0,1,4,14.253318603009635,11.808145088176513,7663,1958,B,Suburbs,421444.2488326003
2006,3,3.5,22,4.931429655546111,1,0,5,44.11548060441598,39.12997378281024,6939,2011,C,Downtown,355093.82463404955
2726,2,2.0,7,9.639097282375216,1,0,3,20.02804860733951,39.391371265253476,5403,1986,A,Rural,416560.96448124986
1867,5,3.0,7,7.975185168388612,0,0,3,36.509990797826454,36.888387071568026,10602,1968,A,Downtown,405922.27537459426
3360,4,1.5,12,5.8149376055815285,2,1,1,78.97643740407035,34.72419634929317,5989,2019,D,Suburbs,461032.73454467894
2312,1,2.0,3,6.878385056654975,1,0,3,82.47744575754845,13.013093732520662,6276,1965,B,Downtown,347109.7253583725
1571,3,2.5,0,3.5267536155681922,0,0,4,3.171911678922157,22.595981803475713,10677,1991,C,Downtown,295667.86949070357
1464,2,3.0,2,2.7614434847399636,2,1,5,95.33695796466716,23.542249013822488,7796,1984,B,Suburbs,321790.3308407736
2241,3,1.0,2,3.459875925736707,1,0,4,87.18719806736911,27.208045611389633,8639,2015,D,Rural,319049.3648849824
1888,4,2.0,4,3.6382248935445407,1,0,1,90.49697584412114,42.96096078565135,11028,1982,D,Downtown,314134.2789423542
2357,3,2.5,28,7.657646055748398,0,0,2,37.677939234675264,44.54267242129958,10979,1997,B,Suburbs,354172.1329593041
2236,3,2.0,16,2.260549366473093,1,0,4,49.69598593663118,11.586583474202598,6902,1997,D,Downtown,347137.12489109195
1963,2,3.0,27,7.998284815459109,1,0,5,16.8503367315491,22.167709684618192,10303,1979,C,Urban,363704.3996005439
1576,4,2.5,65,5.710557820250911,0,0,4,39.68324073314563,8.253193164070149,4793,2004,B,Suburbs,261848.978041303
1242,4,1.5,5,4.461157939391216,0,0,2,12.61461479774535,32.760606155175964,4483,1985,C,Urban,245257.07706916303
1776,3,1.5,2,3.7035649863431983,1,0,2,86.32858530340243,29.03143901245759,8088,2019,B,Urban,285330.9167643195
2428,2,2.5,8,5.618805440920797,1,1,5,58.11297800453743,42.690512277983466,7831,1981,A,Suburbs,384822.2612749716
2107,3,2.0,21,3.8576661636704452,2,0,1,13.598179219160256,26.425692128596577,9295,1974,B,Suburbs,320605.9924766292
1377,5,1.5,6,4.865067931860883,1,0,2,87.90655771995287,39.27353568601095,9085,2020,B,Urban,299918.71967415616
2086,3,2.0,7,7.6511376071411465,1,0,4,8.036840976429193,16.58642447029243,9383,1968,B,Urban,396103.08716663276
2192,3,2.0,1,6.633986557178355,1,1,2,92.69473167645597,35.01841988962678,11204,2001,C,Downtown,363040.34398521855
1558,3,1.5,5,7.731841388258649,1,0,2,10.574930760393642,2.967901723486695,11925,1995,A,Urban,331735.32188061706
2076,4,2.5,4,7.416763206788099,1,0,2,71.79761961857744,8.424831165816075,9755,2003,D,Downtown,355798.0006947022
2029,3,3.0,4,8.335652439906296,0,1,5,64.5306918958311,22.90148806672194,7956,1967,B,Suburbs,395730.0391950251
1428,2,2.5,21,2.815209637360416,1,1,2,78.27014610727507,44.457809120560334,7588,2011,C,Urban,218978.7235991338
2178,3,3.0,0,9.956106995259711,1,0,5,56.47700036567359,44.37059202194512,7971,2016,B,Suburbs,406579.24139420746
2280,4,1.5,35,5.281934048844093,0,0,3,34.99215358850416,30.33972481436502,6851,2018,A,Rural,337584.194599649
2541,4,2.0,0,7.464096442727835,1,1,5,27.440089563098958,7.36450517783994,9847,2023,B,Suburbs,514963.29049552866
2526,4,2.5,29,7.099751467011894,1,0,5,94.54706115786809,34.36731162655286,10081,2020,C,Downtown,437003.2781821431
1311,3,2.5,7,6.095350761553256,1,0,4,44.12702380106447,9.66718387959501,6731,1996,B,Downtown,284958.4066220126
1531,1,2.5,12,9.962345967452809,1,1,5,84.21935485554737,18.172795408181738,7669,1973,D,Urban,313773.6499172144
2257,5,3.0,2,2.9558426467319787,1,0,3,72.3055831058908,16.395179066757294,4462,1972,C,Rural,386101.5913805528
2256,3,2.5,10,4.795559805511253,1,0,3,65.61349473322426,44.33882164704377,7818,1973,A,Rural,338327.3576672723
2257,4,1.0,21,2.1495750330288876,1,0,4,97.06092952842508,34.98493783898089,8077,1980,D,Downtown,300919.90894091653
3926,4,2.5,1,2.636519247842945,1,1,5,56.54495901454418,4.481775620890472,5785,2005,B,Suburbs,606590.4924229925
2285,3,3.0,1,7.416676572190899,0,0,4,73.30174317962259,42.32595236761981,6944,1967,A,Urban,364991.1085259196
2567,2,4.0,3,1.0435841088695204,1,1,1,84.96696302750547,22.089657671255146,5693,1963,B,Suburbs,370326.3783821881
2477,4,2.5,1,9.008385862326854,0,0,3,4.597754069198546,37.98346405623987,4851,1967,B,Urban,413577.1704086049
2325,4,2.5,1,6.698660349417865,1,0,5,99.63079387786384,39.05726023353293,10963,2022,B,Downtown,405245.2889111373
1842,3,2.5,11,4.96814548344697,1,0,2,26.217433157549575,49.935366285003894,4856,1985,A,Urban,283146.7581390509
2379,3,3.5,2,3.98224996522233,1,0,3,70.25167858448175,18.00026606512113,8228,1971,B,Downtown,411705.8177710324
1613,2,4.0,10,2.1364664373992457,1,0,3,95.36162278620014,43.35772236755893,9951,2005,D,Suburbs,276020.1793482448
1881,1,3.0,19,9.294063278084877,0,0,2,76.31368406143108,15.053035874475853,10843,2007,C,Suburbs,281864.0984422031
1757,3,2.5,10,7.410900925317344,1,0,3,22.961729714715084,49.78146704322008,5877,1973,A,Urban,315126.5626409728
2040,3,1.0,1,4.0275369903343705,1,0,5,36.23138876349445,21.102310237212656,10555,1964,B,Downtown,347628.8756015252
3157,5,3.0,8,1.6384256149655843,1,0,5,41.4179007760911,33.34883280431798,8322,1998,C,Suburbs,498981.1050428264
1066,4,3.0,5,3.931145483869159,1,0,4,58.63474936222003,49.73097855881377,9145,2015,D,Downtown,281650.1891732044
2343,4,3.0,4,2.661708653281751,1,0,4,60.29477265956111,10.820455766950067,11519,1967,A,Urban,423660.7475297171
