age,income,credit_score,employment_years,debt_to_income,loan_amount,education,marital_status,approved
45,71593,709,4,0.4887717985888438,99339,Bachelor,Divorced,yes
64,30982,702,0,0.3166179575540845,58187,Master,Single,yes
77,46422,627,1,0.15008327250156006,147187,Master,Married,yes
24,43725,615,12,0.6272464882340184,237844,Bachelor,Single,yes
61,58403,577,3,0.5574008384834915,345183,Master,Single,no
78,39112,330,11,0.6554010454764773,189608,PhD,Married,no
25,68626,566,0,0.7574637708425139,197425,Bachelor,Single,no
64,51426,632,1,0.5100356706964576,293549,Bachelor,Single,no
52,-988,619,2,0.6507012016473585,151591,High School,Single,no
31,58854,695,2,0.2394278958652048,185280,Bachelor,Divorced,yes
34,69927,569,6,0.3872568690425984,208285,Master,Married,yes
53,26958,573,4,0.47104969124692964,148022,Master,Single,no
67,58174,438,4,0.47884966420284114,248819,Bachelor,Single,no
57,86599,697,4,0.6028361194130248,212645,High School,Married,yes
21,52241,561,6,0.6571587179774869,219395,PhD,Single,no
19,72832,578,11,0.5667970487558113,101002,Bachelor,Single,no
79,41156,706,2,0.1330718425440547,281648,Bachelor,Married,yes
23,49640,561,8,0.34585173348497755,368376,Bachelor,Single,yes
71,45907,688,3,0.5007073143133453,274061,Bachelor,Divorced,yes
59,42257,529,6,0.4555086220399829,124824,Bachelor,Married,no
21,47045,647,10,0.13135787726080253,43344,Bachelor,Married,yes
71,17386,589,0,0.786445598337016,187821,Bachelor,Married,no
46,43382,623,3,0.7692738690684555,259150,Master,Married,yes
35,76756,801,22,0.6416332547879138,131904,High School,Married,yes
43,30726,486,3,0.1387472677397227,167993,High School,Single,no
61,28677,792,9,0.4011454848552217,312234,High School,Married,no
51,51224,558,1,0.3868386869381877,41211,Bachelor,Single,yes
27,52223,736,4,0.49061821198734645,231756,Bachelor,Single,yes
79,57549,756,10,0.13914992050606362,93750,Bachelor,Single,yes
53,47725,693,2,0.396559652198864,284974,Bachelor,Single,yes
31,51437,528,3,0.6304875218983512,276405,Bachelor,Married,yes
48,42982,677,0,0.7986055646972419,196047,High School,Married,yes
65,24484,905,0,0.5168102499028675,229282,Bachelor,Single,no
32,48572,651,3,0.7584286178666043,108945,PhD,Married,yes
25,64491,639,9,0.7989769368304079,284193,PhD,Single,no
31,60301,630,13,0.40434734954168317,239877,PhD,Married,no
40,15115,701,5,0.5680833020126878,195015,High School,Single,yes
77,55038,641,8,0.24925058511963002,122014,High School,Married,yes
74,32144,678,6,0.43295251063314366,209484,High School,Married,yes
79,77843,620,6,0.15488808010258287,162566,Master,Married,yes
57,56525,546,7,0.12040484495449227,279210,PhD,Single,yes
38,67925,882,3,0.7250435345032751,364231,Bachelor,Married,yes
33,50423,640,3,0.7008802321372017,266192,Master,Married,no
62,48678,969,0,0.3184452607804442,164625,Bachelor,Divorced,yes
35,79916,692,9,0.41986713059704683,345425,Master,Divorced,yes
64,69455,709,0,0.44552721289254993,159821,Bachelor,Married,yes
70,52357,619,1,0.4644907862447707,228640,Master,Divorced,no
41,46006,590,3,0.19419970315336993,158433,Bachelor,Single,yes
43,15856,621,17,0.6425411331905249,202231,High School,Single,no
42,56491,566,7,0.3434709847886662,26703,Bachelor,Single,yes
77,47477,557,2,0.12218662686095993,79889,Bachelor,Married,no
77,61079,828,6,0.5735930658688937,193745,Bachelor,Single,yes
77,67156,729,13,0.6809142472701782,229274,High School,Married,yes
62,74658,799,3,0.7426887506947939,186205,Bachelor,Single,yes
58,56739,762,3,0.5720837244459838,286795,High School,Married,yes
46,29072,589,4,0.23389531197408822,-12408,Master,Married,no
32,7013,496,1,0.5128463720080373,247505,Bachelor,Married,no
62,33506,603,11,0.7382333882128466,332595,Master,Divorced,no
18,76669,659,7,0.34539206834321323,277640,High School,Married,yes
42,86469,764,6,0.7673455052417588,266297,High School,Single,yes
24,45241,644,4,0.1683753502073525,299497,Master,Divorced,yes
26,20780,946,17,0.6096369207338815,79084,Bachelor,Married,yes
41,37031,606,1,0.1839378207479469,78621,High School,Married,no
18,72756,709,1,0.6592127120336091,168629,PhD,Married,yes
61,38179,590,1,0.16835896469204015,189676,PhD,Married,no
25,61782,690,6,0.32800752804541444,218514,Bachelor,Married,yes
41,53371,637,7,0.6438031999496632,79483,Master,Married,no
28,64200,625,4,0.42213528954204305,173844,High School,Single,no
68,86360,588,5,0.7178805297100702,296288,Master,Divorced,yes
34,61795,664,2,0.3812165034401981,164327,High School,Single,yes
25,52938,733,0,0.7964706842019856,40220,Master,Married,yes
52,88567,552,1,0.11307235514222388,42322,Bachelor,Single,yes
52,56991,645,4,0.5872435442590014,299391,High School,Married,no
50,34141,699,8,0.7411213395010747,347766,High School,Married,yes
76,63749,718,7,0.4751905311087631,122499,Bachelor,Married,yes
22,58949,836,0,0.7919564671093526,285760,High School,Single,yes
59,43841,707,0,0.5956171508896558,262995,PhD,Single,yes
56,39648,609,9,0.4006684059330561,57424,High School,Married,no
75,44034,593,0,0.46076416443874824,250134,Bachelor,Married,no
58,39362,591,2,0.7142286931592101,269425,Bachelor,Married,no
45,44684,586,0,0.7703084487919077,171085,Bachelor,Married,no
24,33144,671,4,0.4891203906780085,159528,Bachelor,Divorced,yes
26,57723,692,2,0.31500517191048405,222960,High School,Married,yes
25,56224,732,1,0.2675275711208052,121906,Bachelor,Single,yes
29,56904,716,4,0.4339337467903305,316957,Bachelor,Single,yes
51,48752,774,2,0.3074369966579568,198521,High School,Married,yes
50,46446,583,0,0.39458570660839143,156672,Bachelor,Married,yes
65,78840,813,6,0.6841267635458453,185489,Bachelor,Married,yes
72,51348,587,9,0.4303913101156942,299969,High School,Single,no
40,75275,684,1,0.548615223039306,185381,High School,Married,yes
79,30071,630,1,0.16307478700092154,154880,High School,Married,no
41,61783,647,0,0.6334890607911222,41295,High School,Married,no
54,35305,717,3,0.43803296983604056,217136,PhD,Married,yes
52,38876,506,8,0.3526597765787861,171573,Master,Married,no
61,41761,566,1,0.527692599899064,80478,High School,Married,no
57,40508,724,3,0.17139005480183894,243341,Bachelor,Married,yes
39,40607,649,0,0.3897990566990127,90956,Master,Single,yes
44,74345,624,2,0.6676807017134004,135637,Bachelor,Single,no
52,50908,537,0,0.2834448368488345,246845,Master,Single,yes
18,54501,625,12,0.7398672952666625,246282,Master,Divorced,no
52,40856,718,5,0.5225505196149292,207880,Bachelor,Married,yes
54,67138,593,2,0.4785485555457363,172896,Master,Single,no
64,57101,786,10,0.3796997005004852,152272,High School,Single,yes
31,43821,757,1,0.6193996113662265,112497,PhD,Single,yes
20,18314,614,0,0.4951273623501411,171339,Master,Married,no
18,54325,590,14,0.6575795933257583,305998,Master,Married,no
22,61513,373,1,0.33217524274331334,89356,High School,Married,yes
43,30423,542,13,0.591410093654857,-58261,Bachelor,Married,no
72,44092,536,5,0.7604098711961578,125520,Bachelor,Married,yes
31,60743,506,19,0.2959431580893994,352584,Bachelor,Married,yes
56,18581,646,7,0.7867011734540914,160004,High School,Single,no
44,37022,681,0,0.3873690774743038,201408,High School,Married,yes
26,57538,831,9,0.12697264339158215,207804,Bachelor,Single,yes
32,72100,656,0,0.3503908346312915,131596,Master,Married,yes
32,93715,446,5,0.2047496244497306,335019,Bachelor,Single,yes
43,89173,575,3,0.3129997620044021,176254,High School,Married,yes
59,52875,711,6,0.16717873213829104,307481,Bachelor,Married,yes
77,40315,641,7,0.22474252385464566,205126,PhD,Single,yes
30,68462,735,8,0.1886892679699524,209159,High School,Married,yes
68,39128,598,9,0.13043340436812,96708,High School,Married,no
49,34758,765,9,0.30733046094987176,302099,Bachelor,Single,yes
56,43894,674,2,0.7586720172092599,181639,High School,Single,yes
66,41386,677,11,0.7645752900192191,213775,High School,Single,yes
69,58252,664,6,0.6926525475338768,369906,Bachelor,Divorced,yes
78,37951,573,9,0.10849836572356261,227447,Bachelor,Single,no
49,51702,644,22,0.11968642859254136,217823,Bachelor,Single,yes
21,81899,679,0,0.10725020195957495,298156,Bachelor,Married,yes
47,52442,509,2,0.35664805985430104,266566,High School,Single,no
54,80334,657,8,0.7861805730409848,153885,Bachelor,Single,yes
40,74041,771,0,0.7277864704006828,142432,Bachelor,Married,yes
56,61840,693,3,0.27537454207992884,244530,Master,Divorced,yes
62,42916,786,9,0.3871364061012481,144865,Bachelor,Married,yes
32,70810,690,0,0.6770998548605687,204506,PhD,Married,yes
60,45000,560,14,0.6310084583097749,74584,Bachelor,Single,no
46,49959,729,19,0.19283262571444976,368483,Bachelor,Married,yes
53,56603,535,1,0.17544381217077368,136872,Bachelor,Single,yes
30,49892,629,7,0.480604369889014,259722,High School,Married,no
49,35594,622,0,0.17147827293590945,263113,Bachelor,Married,no
24,19458,582,7,0.6775130707645036,374254,PhD,Single,no
76,69182,887,3,0.27732861279754595,231888,Bachelor,Married,yes
68,61406,642,9,0.23183083101458535,160539,PhD,Married,yes
39,15587,831,1,0.22997004071402588,196138,High School,Divorced,yes
45,35064,684,5,0.13166206771080985,113170,Bachelor,Married,yes
19,53581,567,7,0.5492843737556237,332251,Bachelor,Divorced,no
59,58851,609,1,0.2151472196271742,168281,Bachelor,Married,yes
62,19630,646,8,0.2633365844090781,375808,Bachelor,Married,no
79,48215,615,15,0.6259142255467565,134464,PhD,Married,no
74,60793,622,4,0.14023687878890648,457469,Bachelor,Married,yes
70,42969,707,7,0.2419215788703123,131758,Master,Married,yes
23,55116,686,3,0.20454396421345472,126538,Master,Single,yes
45,40248,718,4,0.10339430924668913,136065,Bachelor,Single,yes
45,68183,802,0,0.4775395039575041,133207,High School,Single,yes
61,34014,602,3,0.23302379922542432,237123,Bachelor,Single,no
61,27158,761,4,0.5430345526499911,117688,Bachelor,Married,yes
37,50578,789,5,0.4512456951246049,85096,Bachelor,Single,yes
47,21329,779,0,0.5675146369249123,109293,Master,Single,no
79,7897,474,1,0.7870950375049179,402556,PhD,Married,no
28,71674,829,7,0.2539118354403721,87046,Bachelor,Married,yes
75,30315,586,0,0.5661140014482285,218751,High School,Single,no
72,23326,465,2,0.6835276106575368,108287,Bachelor,Married,no
45,33764,827,1,0.7701703595160582,246042,High School,Single,no
42,32866,701,3,0.5356340351871488,215855,Bachelor,Married,yes
56,47157,705,21,0.19158381470542818,366310,PhD,Married,yes
79,28130,616,9,0.13769353413693775,155875,Master,Single,no
50,59963,668,1,0.29495919724712893,242624,Bachelor,Married,yes
18,62924,636,2,0.749710111688289,304497,PhD,Single,no
74,24500,587,12,0.47585228049866746,163103,Master,Single,no
44,37638,652,11,0.5055138770444009,221119,Bachelor,Married,yes
79,39538,661,0,0.5274217699266058,49542,Bachelor,Married,no
74,46699,517,8,0.33255067514481784,244576,High School,Single,yes
69,71653,655,1,0.2271136203160994,218197,High School,Divorced,yes
30,72806,471,3,0.7679691852139013,124036,Bachelor,Single,no
58,99977,842,0,0.6287695511159657,76479,Master,Divorced,yes
20,4612,639,32,0.45773508559525966,172505,Bachelor,Married,no
56,31514,542,7,0.3636936187494909,81042,PhD,Married,no
23,86280,701,1,0.4379405930204795,209855,Bachelor,Single,yes
25,13985,575,5,0.12356563755075772,261973,High School,Married,no
44,85825,647,1,0.273245454945583,24574,High School,Single,yes
26,52947,695,0,0.2754942040468339,115986,High School,Divorced,yes
79,53682,548,2,0.4117431380163806,360744,Master,Single,no
54,24404,844,4,0.26538844669481804,261039,PhD,Single,yes
50,40976,854,0,0.2298200106588959,58216,High School,Married,yes
68,84947,597,3,0.6358694302084745,150888,Master,Married,no
59,49046,537,3,0.7254537908421727,19088,Bachelor,Single,no
61,41110,596,4,0.14699797168137424,314389,Bachelor,Single,yes
41,58114,602,1,0.24675767191888853,198437,PhD,Married,yes
32,46155,761,0,0.6415807638776427,213104,Bachelor,Married,yes
76,56903,598,1,0.6710843527450728,319281,Bachelor,Single,no
71,33005,533,2,0.45011207145819176,176980,Master,Divorced,no
49,48456,660,5,0.5864179649503648,227399,Master,Married,yes
49,37178,500,13,0.15432021489296294,308876,Master,Married,no
41,13920,756,1,0.6946701106417295,118245,Bachelor,Married,no
58,59639,709,5,0.6829101294932356,75299,Bachelor,Married,yes
69,25324,590,0,0.5853814329466946,379375,Master,Single,no
66,46705,600,1,0.7414288814572065,126068,High School,Married,no
79,68521,674,3,0.13334398441417294,-36125,High School,Single,yes
66,20043,539,6,0.26167445316946525,127884,Master,Single,no
75,62093,571,9,0.353781752739574,132372,High School,Single,yes
69,44003,627,6,0.21101221185783542,401963,Bachelor,Married,yes
29,30669,518,0,0.6703793629446351,255014,High School,Married,no
79,90458,604,5,0.6300352561124145,178751,Bachelor,Married,no
56,49988,542,8,0.6412767041250133,131010,Bachelor,Married,no
19,38638,792,3,0.30390543089571076,268298,Master,Married,yes
20,34395,609,16,0.6338804163482156,305176,Bachelor,Single,no
66,67623,555,0,0.18614017598447435,249714,Bachelor,Married,no
54,37758,717,8,0.17476033936892205,292097,High School,Married,yes
66,65130,587,2,0.5088401567942489,355016,Bachelor,Single,no
73,49950,539,5,0.1340680611332599,209383,High School,Single,yes
34,72323,738,5,0.7570554155252295,149254,High School,Divorced,yes
76,29149,617,1,0.33019248387590505,157045,High School,Single,no
66,31938,734,26,0.43392282488731926,325291,High School,Single,yes
19,44379,648,0,0.6692604653212983,272968,High School,Married,no
19,46038,662,0,0.38003700510872207,214881,High School,Married,yes
45,42908,706,11,0.4014517301031987,145887,High School,Single,yes
71,102628,586,0,0.3435607791383606,119156,Bachelor,Married,no
40,91264,568,2,0.3462064101426813,200062,Master,Divorced,yes
54,55981,770,6,0.4275687196845134,100144,Bachelor,Single,yes
49,58339,707,7,0.7621499866600205,177243,PhD,Single,yes
50,45271,643,15,0.7552126844121355,319311,PhD,Single,yes
18,29003,729,7,0.4816131629162297,186920,PhD,Married,no
36,46358,704,9,0.41917185859653416,176205,Bachelor,Married,yes
79,65422,744,14,0.6657128067980221,214260,High School,Single,yes
19,76112,535,4,0.5766504098556304,296613,Master,Single,no
70,69914,643,2,0.7170943814847986,380319,Bachelor,Single,no
61,19804,762,7,0.6114282889020733,84271,Bachelor,Married,no
43,44215,817,0,0.7666410252814567,320297,Master,Married,yes
49,20622,596,0,0.7203720184458742,280146,Bachelor,Single,no
23,73376,665,7,0.6986744247187716,76578,Master,Married,yes
49,41752,651,15,0.3740836908719072,102300,High School,Married,yes
72,49057,525,2,0.3703486356822402,295675,High School,Single,yes
21,59601,621,0,0.6188419878895453,255405,Bachelor,Divorced,no
72,105322,492,3,0.15862430437344488,26610,Bachelor,Married,yes
28,55365,633,2,0.32555011824176383,116902,Master,Married,yes
73,45234,546,2,0.7525566864883999,253323,Master,Married,no
76,25179,666,4,0.4150708580591278,292851,PhD,Married,yes
34,79172,619,0,0.28892877442189724,239856,PhD,Married,yes
55,46367,617,2,0.4335165412721399,-10190,Bachelor,Married,no
41,83142,805,10,0.3020127275353836,127945,Bachelor,Married,yes
22,72112,657,6,0.6377826244877829,102153,Master,Married,yes
69,40740,837,0,0.6954235608400704,269212,High School,Single,yes
51,22154,694,3,0.6478607731065777,153352,Bachelor,Single,yes
23,55451,731,0,0.2043329397291801,253410,Master,Married,yes
39,37701,563,15,0.3352400159636355,217166,PhD,Single,no
28,50786,580,1,0.24977971399518017,83098,Master,Married,yes
65,70980,651,13,0.12995938316460948,288262,High School,Married,yes
33,16928,771,8,0.6174227972729192,316468,High School,Single,yes
50,55292,613,4,0.39985170699603256,293380,High School,Divorced,yes
26,65191,506,2,0.29363616205358656,221662,Bachelor,Single,yes
77,66162,689,9,0.315269255734112,190643,High School,Single,yes
76,22729,656,0,0.19451152459753873,138881,High School,Married,yes
23,58386,594,0,0.6787324433960371,326590,Master,Married,no
33,74070,612,1,0.20074714008708255,361832,High School,Single,yes
46,56864,562,4,0.3368214011782867,134118,PhD,Divorced,yes
20,47686,742,1,0.10517155403621058,91136,Bachelor,Divorced,yes
37,72792,652,22,0.4054880711736455,95744,High School,Single,yes
77,36113,674,1,0.34836039883402226,103724,Master,Married,yes
76,19403,590,8,0.6033714048788977,232928,PhD,Single,no
53,45988,783,0,0.6007195422232471,68307,PhD,Single,yes
36,60700,672,2,0.12704186236222997,143983,Bachelor,Single,yes
43,70778,435,1,0.18110474504153096,146799,PhD,Single,yes
20,60610,695,18,0.7332382046441763,217369,Master,Married,yes
36,66716,623,0,0.6542588315485385,179483,High School,Married,no
37,70906,633,6,0.37263942456497245,244778,Bachelor,Married,yes
49,43212,749,1,0.21646213862022345,188437,Bachelor,Single,yes
24,47041,658,8,0.2825469007778615,220050,Bachelor,Married,yes
69,75743,821,1,0.5606186784417918,393243,Bachelor,Married,yes
58,25796,660,1,0.7618450903199955,213651,High School,Married,no
50,58582,603,5,0.5310166581289645,226863,Bachelor,Married,no
57,35665,468,1,0.11851192129390266,442187,Bachelor,Single,no
56,72005,578,3,0.5555026889844904,184985,High School,Married,no
35,49641,617,0,0.7613261500310139,346828,High School,Married,no
57,50151,796,6,0.35104870850734193,322937,High School,Single,yes
18,84577,603,2,0.7534889752894415,106176,High School,Married,no
28,28479,814,0,0.5694338776516876,214836,Bachelor,Married,yes
45,54316,535,6,0.2328848378464629,263990,High School,Married,yes
74,46397,572,0,0.20171391097421693,294124,Master,Divorced,yes
42,60648,762,4,0.2234097190839096,121103,Bachelor,Married,yes
67,88586,590,4,0.5894572021715887,120793,PhD,Married,no
40,37895,759,13,0.5126649004025674,288987,High School,Single,yes
48,26052,567,0,0.4188804996975589,98883,Bachelor,Single,no
47,33813,577,5,0.2843483098674554,167509,Master,Single,yes
59,45343,714,2,0.7350618455937923,57416,Bachelor,Married,yes
52,51284,568,2,0.24962044666306316,116920,Bachelor,Married,yes
24,52290,622,3,0.2985243524991924,175573,Master,Single,yes
77,86053,689,1,0.13844270265749378,185988,High School,Married,yes
33,82496,624,3,0.29272771271652404,214282,Bachelor,Single,yes
43,76058,593,5,0.746028373700783,186831,High School,Divorced,no
65,100288,529,3,0.2313228162788499,290780,Bachelor,Married,yes
74,66481,794,0,0.24277401223240067,324553,Bachelor,Single,yes
69,72167,813,1,0.5199841775197537,130210,High School,Married,yes
77,66095,682,2,0.4968674433692054,32599,High School,Married,yes
66,62818,626,2,0.22317098754153586,241895,Bachelor,Married,no
19,57887,632,0,0.20798540825051098,302146,High School,Married,yes
18,42062,733,2,0.1818838743575854,122383,Master,Single,yes
65,25064,753,5,0.7027598370585992,169338,High School,Married,yes
79,47386,595,0,0.5581046547027078,296974,PhD,Married,no
29,61315,757,6,0.7674119702979633,310858,Bachelor,Single,yes
22,51445,711,15,0.21608346365356446,246957,Bachelor,Single,yes
54,28693,755,0,0.4224225381171901,203755,Bachelor,Married,yes
49,46682,489,1,0.6201324762564354,151516,Master,Married,no
76,45639,608,3,0.2494838248714304,222239,Bachelor,Married,yes
72,48752,632,1,0.5792737202838547,208658,Master,Single,no
26,59818,603,7,0.43166234973162554,266360,Master,Married,no
58,64125,841,1,0.40158016116548223,240368,Bachelor,Married,yes
52,39998,609,1,0.5514983511776606,61808,Master,Single,no
36,69622,696,0,0.4273861185368846,185755,Bachelor,Single,yes
65,72632,665,1,0.6740090994415274,330622,High School,Divorced,yes
33,56406,620,1,0.7513649572270503,-40009,Bachelor,Married,no
20,63295,579,2,0.5122011120107942,65419,Master,Single,no
37,69684,855,0,0.3104161507713585,99592,High School,Single,yes
41,28047,627,4,0.6440555288487585,266300,Master,Single,no
71,71094,737,1,0.21934282202259742,150090,Master,Married,yes
73,34198,649,8,0.1664935797892932,211676,Bachelor,Married,no
50,36145,604,1,0.4631120605377256,249420,High School,Single,no
41,53925,660,1,0.5527150836169419,248778,Bachelor,Single,yes
69,7119,680,0,0.6844985793971066,133821,Bachelor,Married,no
28,53512,603,6,0.7686486836323507,168448,PhD,Married,yes
66,69635,573,3,0.7113366601026898,180097,High School,Single,no
25,17081,697,0,0.7920897014823142,365543,PhD,Single,no
53,71780,661,1,0.43298999952719175,178732,High School,Single,yes
55,36024,584,33,0.3215763328225154,261686,PhD,Single,no
57,54137,556,8,0.4217943950687302,271581,High School,Divorced,no
37,38928,684,2,0.5508913501686169,309548,High School,Married,no
79,61458,458,3,0.4550796266783145,288220,High School,Married,no
52,70498,623,2,0.5438838753056283,205646,Bachelor,Married,no
65,62940,663,0,0.7207058369286875,249403,Bachelor,Married,yes
79,49920,823,7,0.21606830640446378,449106,Bachelor,Married,yes
42,40482,651,6,0.18418481081450255,126157,Bachelor,Single,yes
52,48613,619,2,0.4489631690436564,149517,High School,Married,no
42,63119,678,9,0.7872376823177096,84996,PhD,Married,yes
46,63805,578,3,0.14133045084126172,218679,High School,Married,yes
35,61016,628,0,0.7905901134914126,153682,Bachelor,Married,no
63,24348,652,1,0.7773946302933558,93988,Bachelor,Single,no
35,49539,712,3,0.30481965990193616,200754,Master,Married,yes
19,37331,582,0,0.723702657419258,63242,High School,Divorced,no
71,63298,649,4,0.10543100857980538,325757,High School,Single,yes
52,34700,470,0,0.41784280222152925,304056,PhD,Single,no
33,59041,701,1,0.38148644386610087,376572,Master,Single,yes
78,44356,626,11,0.7318606047456488,465502,Bachelor,Married,no
58,12418,838,42,0.43060732314361194,37145,High School,Single,yes
53,68619,685,3,0.3925571274422275,183896,Master,Single,yes
50,49494,563,4,0.5477162272612658,329241,Master,Divorced,no
21,75519,540,7,0.36305943198919877,326947,Bachelor,Married,yes
50,16693,716,5,0.47559169743865115,285987,Bachelor,Single,yes
31,44169,829,1,0.7688966026188372,95309,PhD,Single,yes
38,45671,799,2,0.24183211616589698,228027,High School,Married,yes
65,55404,528,3,0.42123895904881925,305943,Bachelor,Single,no
37,23496,670,2,0.11076413404291062,165545,Master,Married,yes
73,60880,762,0,0.68956595710213,123715,Bachelor,Married,yes
25,88233,515,6,0.16441215277356236,172459,PhD,Married,yes
24,59490,753,1,0.166333641484412,143350,Bachelor,Married,yes
20,51857,579,1,0.7179875646832355,227226,High School,Single,no
34,22450,628,1,0.38650721996820325,56437,High School,Single,no
50,34515,677,0,0.5811068130990136,364160,High School,Single,yes
65,48883,756,9,0.7004924591582388,143637,Master,Married,yes
29,39404,803,4,0.36213428816792836,98650,Master,Married,yes
76,70525,617,9,0.2830832190620064,159799,Master,Married,yes
68,60674,602,3,0.2186625953767391,226996,Bachelor,Married,yes
39,103847,595,3,0.5249835891011755,44344,High School,Divorced,no
72,30382,727,4,0.27659071592178347,142691,High School,Single,yes
39,50662,749,2,0.544001590074953,193717,High School,Single,yes
63,22330,739,3,0.32199951578808206,132604,Master,Divorced,yes
47,5551,676,3,0.34344375249250064,103826,High School,Married,yes
55,64454,686,15,0.2743800794893901,294747,Master,Married,yes
55,59932,626,10,0.3929277448608348,292664,Master,Single,yes
62,32908,636,0,0.21349094546070252,291105,High School,Single,no
68,51860,735,0,0.32379463926568686,256640,PhD,Single,yes
71,37414,676,5,0.6445161227274518,81109,Master,Divorced,yes
25,40115,602,0,0.25093322414037583,197648,Bachelor,Single,yes
44,43594,759,0,0.7629792523595087,335481,Bachelor,Single,yes
44,32068,589,0,0.4450452456455296,78845,Bachelor,Married,no
51,35667,664,2,0.17484403250433328,101428,Bachelor,Married,yes
38,36231,525,2,0.760142848393881,226977,Bachelor,Married,no
47,58457,555,3,0.4196747857759209,276042,PhD,Single,yes
50,-5484,651,24,0.48987563470327067,268111,High School,Married,yes
